Entity,Code,Year,Cantril ladder score,,GDP per capita
Afghanistan,AFG,2017,36.315,,20.584.001
Albania,ALB,2017,4.586,,12.770.964
Algeria,DZA,2017,52.946,,11.737.401
Angola,AGO,2017,37.948,,73.108.965
Argentina,ARG,2017,6.388,,23.597.117
Armenia,ARM,2017,43.206,,12115.14
Australia,AUS,2017,72.721,,48398.55
Austria,AUT,2017,71.394,,54172.99
Azerbaijan,AZE,2017,52.006,,14.121.407
Bahrain,BHR,2017,61.051,,47.709.777
Bangladesh,BGD,2017,45.004,,4.160.703
Belarus,BLR,2017,54.833,,18.356.102
Belgium,BEL,2017,69.269,,50442.27
Belize,BLZ,2017,59.556,,71.936.343
Benin,BEN,2017,41.414,,3.044.517
Bhutan,BTN,2017,50.821,,11.142.475
Bolivia,BOL,2017,57.519,,8.423.697
Bosnia and Herzegovina,BIH,2017,51.294,,13.753.838
Botswana,BWA,2017,35.898,,15.948.032
Brazil,BRA,2017,64.189,,14.524.613
Bulgaria,BGR,2017,49.331,,21.469.945
Burkina Faso,BFA,2017,44.244,,2.044.387
Burundi,BDI,2017,29.045,,7.735.729
Cambodia,KHM,2017,44.326,,3.928.374
Cameroon,CMR,2017,49.753,,3.665.118
Canada,CAN,2017,73.285,,48.317.176
Central African Republic,CAF,2017,3.083,,91.280.304
Chad,TCD,2017,43.006,,15.870.323
Chile,CHL,2017,64.762,,24.470.703
China,CHN,2017,52.458,,14.243.532
Colombia,COL,2017,62.601,,14171.32
Congo,COG,2017,45.587,,42.346.597
Costa Rica,CRI,2017,70.717,,20.347.035
Cote d'Ivoire,CIV,2017,46.712,,48.307.505
Croatia,HRV,2017,53.212,,27.154.084
Cyprus,CYP,2017,57.625,,38287.97
Czechia,CZE,2017,67.109,,38.824.887
Democratic Republic of Congo,COD,2017,42.449,,10.598.108
Denmark,DNK,2017,75.553,,55356.68
Dominican Republic,DOM,2017,53.018,,11.304.043
Ecuador,ECU,2017,59.732,,11.617.912
Egypt,EGY,2017,44.192,,11.014.486
